Dia,Marca temporal, Siento que fui productivo en la ejecución de la actividad., Siento que la señal utilizada fue útil como recordatorio para realizar la pausa., Siento que la señal utilizada me distraía de la actividad que estaba realizando.,Siento que la señal utilizada me ayudó a tener un mejor manejo del tiempo.,¿Hubiera preferido otro tipo de señal?
Luces,20/6/2022 11:12:33,10,10,7,9,No
Luces,20/6/2022 11:12:53,7,3,2,6,No
Luces,20/6/2022 11:13:11,10,8,7,10,No
Luces,20/6/2022 11:13:26,7,10,8,8,No
Luces,20/6/2022 11:13:45,7,10,2,9,No
Luces,20/6/2022 11:14:07,6,10,8,8,Sí
Sonido,20/6/2022 11:47:01,6,7,3,9,No
Sonido,20/6/2022 11:47:25,8,10,1,8,No
Sonido,20/6/2022 11:47:53,7,8,2,9,No
Sonido,20/6/2022 11:47:56,6,3,3,3,Sí
Sonido,20/6/2022 11:48:14,8,5,2,6,Sí
Sonido,20/6/2022 11:48:23,5,7,5,3,Sí
Sonido,21/6/2022 7:43:23,7,2,7,1,Sí
Luces,21/6/2022 7:43:37,7,9,8,5,No
Luces,21/6/2022 7:44:13,8,5,1,5,Sí
Luces,21/6/2022 7:44:34,8,8,1,6,Sí
Luces,21/6/2022 8:17:54,7,10,5,10,No
Luces,21/6/2022 8:17:57,5,9,1,7,No
Luces,21/6/2022 8:18:02,7,9,5,9,No
Luces,21/6/2022 8:18:13,7,10,6,10,No
Luces,21/6/2022 8:18:13,9,10,3,9,No
Luces,21/6/2022 8:18:17,10,8,7,9,Sí
Luces,21/6/2022 8:18:21,5,8,9,6,Sí
Luces,21/6/2022 8:18:28,10,7,7,9,Sí
Luces,21/6/2022 8:18:30,9,9,10,7,No
Sonido,21/6/2022 8:57:32,10,4,7,5,Sí
Sonido,21/6/2022 8:57:44,7,10,3,10,No
Sonido,21/6/2022 8:58:01,9,5,4,8,No
Sonido,21/6/2022 8:58:08,9,5,7,4,No
Sonido,21/6/2022 8:58:23,10,2,1,8,Sí
Sonido,21/6/2022 8:58:45,10,5,3,10,Sí
Sonido,21/6/2022 8:58:48,7,10,6,9,No
Luces,22/6/2022 18:12:12,1,1,10,10,Sí
Luces,22/6/2022 18:12:38,5,10,1,10,No
Luces,22/6/2022 18:12:48,6,10,9,8,Sí
Luces,22/6/2022 18:14:09,8,7,2,5,No
Sonido,22/6/2022 18:44:20,7,5,3,1,Sí
Sonido,22/6/2022 18:44:23,7,10,1,10,No
Sonido,22/6/2022 18:45:03,4,9,1,8,Sí
Sonido,22/6/2022 18:48:29,5,10,2,8,No
