Estímulo,Marca temporal, Siento que fui productivo en la ejecución de la actividad., Siento que la señal utilizada fue útil como recordatorio para realizar la pausa., Siento que la señal utilizada me distraía de la actividad que estaba realizando.,Siento que la señal utilizada me ayudó a tener un mejor manejo del tiempo.,¿Hubiera preferido otro tipo de señal?
Sound,20/6/2022 11:12:33,5,5,4,5,No
Sound,20/6/2022 11:12:53,4,2,1,3,No
Sound,20/6/2022 11:13:11,5,4,4,5,No
Sound,20/6/2022 11:13:26,4,5,4,4,No
Sound,20/6/2022 11:13:45,4,5,1,5,No
Sound,20/6/2022 11:14:07,3,5,4,4,Sí
Lights,20/6/2022 11:47:01,3,4,2,5,No
Lights,20/6/2022 11:47:25,4,5,1,4,No
Lights,20/6/2022 11:47:53,4,4,1,5,No
Lights,20/6/2022 11:47:56,3,2,2,2,Sí
Lights,20/6/2022 11:48:14,4,3,1,3,Sí
Lights,20/6/2022 11:48:23,3,4,3,2,Sí
Sound,21/6/2022 8:17:54,4,5,3,5,No
Sound,21/6/2022 8:17:57,3,5,1,4,No
Sound,21/6/2022 8:18:02,4,5,3,5,No
Sound,21/6/2022 8:18:13,4,5,3,5,No
Sound,21/6/2022 8:18:13,5,5,2,5,No
Sound,21/6/2022 8:18:17,5,4,4,5,Sí
Sound,21/6/2022 8:18:21,3,4,5,3,Sí
Sound,21/6/2022 8:18:28,5,4,4,5,Sí
Sound,21/6/2022 8:18:30,5,5,5,4,No
Lights,21/6/2022 8:57:32,5,2,4,3,Sí
Lights,21/6/2022 8:57:44,4,5,2,5,No
Lights,21/6/2022 8:58:01,5,3,2,4,No
Lights,21/6/2022 8:58:08,5,3,4,2,No
Lights,21/6/2022 8:58:23,5,1,1,4,Sí
Lights,21/6/2022 8:58:45,5,3,2,5,Sí
Lights,21/6/2022 8:58:48,4,5,3,5,No
Sound,22/6/2022 18:12:12,1,1,5,5,Sí
Sound,22/6/2022 18:12:38,3,5,1,5,No
Sound,22/6/2022 18:12:48,3,5,5,4,Sí
Sound,22/6/2022 18:14:09,4,4,1,3,No
Lights,22/6/2022 18:44:20,4,3,2,1,Sí
Lights,22/6/2022 18:44:23,4,5,1,5,No
Lights,22/6/2022 18:45:03,2,5,1,4,Sí
Lights,22/6/2022 18:48:29,3,5,1,4,No
