,Marca temporal,"¿Cómo evalúa su productividad, tomando en cuenta la cantidad de tangramas resueltos?","Si usted hubiera recibido una señal para tomar la pausa, esta la hubiera sentido útil. ","Tener un recordatorio que indicara el tiempo restante, me hubiera distraído pararesolver los tangramas","Tener un recordatorio del tiempo restante, me hubiera ayudado a manejar mejor el tiempo. "
Sin estímulo,6/6/2022 13:52:06,2,10,1,5
Sin estímulo,6/6/2022 13:52:46,2,6,10,8
Sin estímulo,6/6/2022 13:53:47,2,9,7,10
Sin estímulo,20/6/2022 10:42:55,7,10,8,8
Sin estímulo,20/6/2022 10:43:04,6,10,9,5
Sin estímulo,20/6/2022 10:43:10,6,6,2,5
Sin estímulo,20/6/2022 10:43:31,6,3,5,8
Sin estímulo,20/6/2022 10:43:44,7,3,2,8
Sin estímulo,20/6/2022 10:43:48,8,1,8,5
Sin estímulo,21/6/2022 7:43:15,7,3,1,9
Sin estímulo,21/6/2022 7:44:14,9,9,4,9
Sin estímulo,21/6/2022 7:44:55,6,8,8,4
Sin estímulo,21/6/2022 7:45:09,6,7,5,10
Sin estímulo,21/6/2022 7:45:43,6,6,6,9
Sin estímulo,21/6/2022 7:45:48,7,8,10,5
Sin estímulo,21/6/2022 7:46:03,5,7,3,10
Sin estímulo,21/6/2022 7:47:03,8,5,1,10
Sin estímulo,22/6/2022 17:40:33,5,3,3,9
Sin estímulo,22/6/2022 17:41:07,5,4,4,7
Sin estímulo,22/6/2022 17:41:11,3,1,1,10
Sin estímulo,22/6/2022 17:41:22,7,2,2,8
Sin estímulo,22/6/2022 17:41:57,5,5,7,1
