Notificar;ConocimientoTecnologia;ConocimientoSeguridadPrivacidad;ConocimientoEdificiosInteligentes;Edad;Genero;Trabaja;ModalidadTrabajo
"... alwaands.";"Strong";"Strong";"Moderate";"Between 25 years old and 34 years old";"Male";"Yes";"Hybrid"
"... the first time.";"Moderate";"Moderate";"Weak";"Between 25 years old and 34 years old";"Male";"Yes";"Hybrid"
"... alwaands.";"Weak";"Moderate";"Moderate";"Between 35 years old and 44 years old";"Female";"Yes";"Remote"
"... once in a while.";"Strong";"Moderate";"Moderate";"Between 35 years old and 44 years old";"Female";"Yes";"Remote"
"... once in a while.";"Very strong";"Very strong";"Very strong";"Between 18 and 24 years old";"Female";"Yes";"Remote"
"... the first time.";"Moderate";"Moderate";"Moderate";"Between 25 years old and 34 years old";"Female";"Yes";"On-site"
"... alwaands.";"Strong";"Moderate";"Weak";"Between 18 and 24 years old";"Male";"No";""
"... alwaands.";"Moderate";"Weak";"Weak";"Between 25 years old and 34 years old";"Female";"Yes";"On-site"
"... alwaands.";"Strong";"Moderate";"Moderate";"Between 18 and 24 years old";"Male";"Yes";"Hybrid"
"... alwaands.";"Strong";"Moderate";"Weak";"Between 25 years old and 34 years old";"Male";"Yes";"Hybrid"
"... alwaands.";"Moderate";"Strong";"Strong";"More than 54 years old";"Female";"Yes";"On-site"
"... alwaands.";"Moderate";"Strong";"Moderate";"Between 45 years old and 54 years old";"Female";"Yes";"Hybrid"
"... once in a while.";"Strong";"Moderate";"Moderate";"Between 25 years old and 34 years old";"Male";"Yes";"Hybrid"
"... once in a while.";"Moderate";"Weak";"Strong";"Between 35 years old and 44 years old";"Male";"Yes";"Remote"
"... alwaands.";"Moderate";"Weak";"Weak";"Between 25 years old and 34 years old";"Female";"Yes";"Hybrid"
"... alwaands.";"Strong";"Moderate";"Strong";"Between 35 years old and 44 years old";"Male";"Yes";"On-site"
"... alwaands.";"Weak";"Very weak";"Weak";"Between 18 and 24 years old";"Female";"No";""
"... alwaands.";"Moderate";"Strong";"Moderate";"Between 45 years old and 54 years old";"Female";"Yes";"Remote"
"... alwaands.";"Moderate";"Weak";"Very weak";"Between 45 years old and 54 years old";"Female";"No";""
"... alwaands.";"Weak";"Very weak";"Very weak";"Between 18 and 24 years old";"Female";"Yes";"Hybrid"
"... alwaands.";"Moderate";"Weak";"Very weak";"Between 25 years old and 34 years old";"Female";"Yes";"On-site"
"... the first time.";"Weak";"Weak";"Weak";"More than 54 years old";"Male";"Yes";"Hybrid"
"... alwaands.";"Weak";"Very weak";"Very weak";"Between 45 years old and 54 years old";"Female";"Yes";"Remote"
"... the first time.";"Strong";"Strong";"Moderate";"Between 35 years old and 44 years old";"Male";"Yes";"Remote"
"... once in a while.";"Moderate";"Moderate";"Moderate";"Between 25 years old and 34 years old";"Female";"Yes";"Remote"
"... alwaands.";"Moderate";"Moderate";"Weak";"More than 54 years old";"Female";"Yes";"Remote"
"... alwaands.";"Strong";"Moderate";"Moderate";"Between 25 years old and 34 years old";"Rather not say";"No";""
"... once in a while.";"Moderate";"Weak";"Weak";"Between 18 and 24 years old";"Male";"Yes";"Remote"
"... alwaands.";"Moderate";"Weak";"Very weak";"Between 18 and 24 years old";"Male";"No";""
"... alwaands.";"Strong";"Moderate";"Very weak";"Between 25 years old and 34 years old";"Male";"Yes";"Hybrid"
"... the first time.";"Moderate";"Weak";"Weak";"Between 45 years old and 54 years old";"Female";"Yes";"Hybrid"
