Dato;Beneficio;Retencion;Compartido;Resultado1;Resultado2;Resultado3;Resultado4;Resultado5;Resultado6;Resultado7
video;usuario;hasta que se cumpla el proposito;no especificado;Ni en desacuerdo ni de acuerdo;De acuerdo;;;Totalmente en desacuerdo;Totalmente en desacuerdo;Denegar
video;recopilador de datos;siempre;no especificado;En desacuerdo;De acuerdo;;;En desacuerdo;Totalmente en desacuerdo;Denegar
presencia;recopilador de datos;no especificado;no especificado;Ni en desacuerdo ni de acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;En desacuerdo;Permitir
posición;usuario;un año;no especificado;De acuerdo;Ni en desacuerdo ni de acuerdo;;;De acuerdo;De acuerdo;Permitir
datos biométricos;recopilador de datos;una semana;compartido;De acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;Permitir
video;usuario;hasta que se cumpla el proposito;no especificado;De acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;En desacuerdo;Permitir
video;recopilador de datos;siempre;no especificado;Totalmente de acuerdo;Totalmente de acuerdo;;;Ni en desacuerdo ni de acuerdo;De acuerdo;Permitir
presencia;recopilador de datos;no especificado;no especificado;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;;;Ni en desacuerdo ni de acuerdo;De acuerdo;Permitir
posición;usuario;un año;no especificado;En desacuerdo;Ni en desacuerdo ni de acuerdo;;;En desacuerdo;En desacuerdo;Denegar
datos biométricos;recopilador de datos;una semana;compartido;De acuerdo;Ni en desacuerdo ni de acuerdo;;;De acuerdo;De acuerdo;Permitir
video;usuario;hasta que se cumpla el proposito;no especificado;De acuerdo;Totalmente de acuerdo;;;En desacuerdo;Totalmente en desacuerdo;Permitir
video;recopilador de datos;siempre;no especificado;Ni en desacuerdo ni de acuerdo;Totalmente de acuerdo;;;Totalmente en desacuerdo;Totalmente en desacuerdo;Denegar
presencia;recopilador de datos;no especificado;no especificado;Ni en desacuerdo ni de acuerdo;Totalmente de acuerdo;;;En desacuerdo;Totalmente en desacuerdo;Denegar
posición;usuario;un año;no especificado;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;;;Totalmente en desacuerdo;En desacuerdo;Denegar
datos biométricos;recopilador de datos;una semana;compartido;De acuerdo;Totalmente de acuerdo;;;Totalmente en desacuerdo;En desacuerdo;Permitir
video;usuario;hasta que se cumpla el proposito;no especificado;En desacuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Denegar
video;recopilador de datos;siempre;no especificado;De acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Permitir
presencia;recopilador de datos;no especificado;no especificado;En desacuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Denegar
posición;usuario;un año;no especificado;De acuerdo;De acuerdo;;;De acuerdo;En desacuerdo;Permitir
datos biométricos;recopilador de datos;una semana;compartido;En desacuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Denegar
video;usuario;hasta que se cumpla el proposito;no especificado;Totalmente de acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
video;recopilador de datos;siempre;no especificado;Totalmente de acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
presencia;recopilador de datos;no especificado;no especificado;Totalmente de acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
posición;usuario;un año;no especificado;Totalmente de acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
datos biométricos;recopilador de datos;una semana;compartido;Totalmente de acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
video;usuario;hasta que se cumpla el proposito;no especificado;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;Totalmente en desacuerdo;En desacuerdo;Totalmente en desacuerdo;Permitir
video;recopilador de datos;siempre;no especificado;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;Totalmente en desacuerdo;En desacuerdo;En desacuerdo;Permitir
